Date Of Death Year,Date Of Death Month,HHSRegion,AgeGroup,AllCause,NaturalCause,Septicemia (A40-A41),Malignant neoplasms (C00-C97),Diabetes mellitus (E10-E14),Alzheimer disease (G30),Influenza and pneumonia (J09-J18),Chronic lower respiratory diseases (J40-J47),"Other diseases of respiratory system (J00-J06,J30-J39,J67,J70-J98)","Nephritis, nephrotic syndrome and nephrosis (N00-N07,N17-N19,N25-N27)","Symptoms, signs and abnormal clinical and laboratory findings, not elsewhere classified (R00-R99)","Diseases of heart (I00-I09,I11,I13,I20-I51)",Cerebrovascular diseases (I60-I69),"COVID-19 (U071, Multiple Cause of Death)","COVID-19 (U071, Underlying Cause of Death)",AnalysisDate,Note,flag_allcause,flag_natcause,flag_sept,flag_neopl,flag_diab,flag_alz,flag_inflpn,flag_clrd,flag_otherresp,flag_nephr,flag_otherunk,flag_hd,flag_stroke,flag_cov19mcod,flag_cov19ucod
2020,12,United States,0-4 years,"1,804","1,586",,32,,0,,,21,,247,22,11,16,11,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
2020,12,United States,15-24 years,"3,056",728,,110,40,0,,22,,,77,79,18,115,98,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2020,12,United States,25-34 years,"6,532","2,507",41,322,123,0,31,33,19,26,186,354,52,493,417,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,12,United States,35-44 years,"9,861","6,082",87,931,262,,83,73,63,87,204,"1,068",196,"1,353","1,227",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,Suppressed (counts 1-9),,,,,,,,,
2020,12,United States,45-54 years,"19,284","15,988",244,"2,889",735,,171,298,153,224,267,"3,188",519,"4,040","3,729",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,Suppressed (counts 1-9),,,,,,,,,
2020,12,United States,5-14 years,433,227,,68,,0,,,,,15,,,10,10,08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2020,12,United States,55-64 years,"45,769","42,365",589,"9,457","1,829",153,473,"1,550",472,596,412,"8,337","1,255","10,517","9,793",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,12,United States,65-74 years,"74,234","71,903",930,"15,138","2,743",923,874,"3,381",915,"1,048",501,"12,956","2,506","20,590","19,157",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,12,United States,75-84 years,"92,904","90,834","1,027","14,101","2,616","3,811","1,140","4,219","1,270","1,304",502,"15,841","4,145","28,120","25,727",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2020,12,United States,85 years and over,"113,275","110,588",856,"8,855","1,944","8,302","1,496","3,466","1,176","1,456","1,107","23,523","6,567","32,796","29,307",08/25/2021,"Data are provisional, and values in the most recent months are incomplete.",,,,,,,,,,,,,,,
2021,1,United States,0-4 years,"1,913","1,680",17,32,0,0,,,20,,265,20,13,14,,08/25/2021,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9)
2021,1,United States,15-24 years,"3,094",747,,104,28,0,11,14,15,,95,88,12,136,108,08/25/2021,,,,Suppressed (counts 1-9),,,,,,,Suppressed (counts 1-9),,,,,
2021,1,United States,25-34 years,"6,879","2,664",38,300,122,0,27,37,21,28,193,354,59,686,588,08/25/2021,,,,,,,,,,,,,,,,
2021,1,United States,35-44 years,"10,585","6,733",87,950,309,,91,76,64,91,293,"1,128",174,"1,658","1,503",08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,1,United States,45-54 years,"20,078","16,671",223,"2,943",731,10,170,264,144,249,312,"3,065",533,"4,783","4,446",08/25/2021,,,,,,,,,,,,,,,,
2021,1,United States,5-14 years,432,222,,59,,0,,,,0,20,,,16,11,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2021,1,United States,55-64 years,"47,872","44,211",566,"9,318","1,852",130,511,"1,459",497,600,476,"8,135","1,337","12,775","11,954",08/25/2021,,,,,,,,,,,,,,,,
2021,1,United States,65-74 years,"77,594","75,168",862,"15,076","2,648",929,852,"3,347",957,"1,210",492,"12,979","2,522","23,972","22,333",08/25/2021,,,,,,,,,,,,,,,,
2021,1,United States,75-84 years,"94,031","91,916","1,009","13,851","2,597","3,688","1,162","4,144","1,259","1,497",512,"15,673","4,143","29,968","27,491",08/25/2021,,,,,,,,,,,,,,,,
2021,1,United States,85 years and over,"110,348","107,795",879,"8,888","1,880","8,005","1,443","3,433","1,170","1,586","1,095","23,633","6,291","31,030","27,486",08/25/2021,,,,,,,,,,,,,,,,
2021,2,United States,0-4 years,"1,708","1,502",,31,0,0,,,22,,256,34,12,,,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,2,United States,15-24 years,"2,653",591,,92,22,0,,12,,,87,47,11,83,65,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2021,2,United States,25-34 years,"5,739","2,177",24,282,107,0,23,34,24,22,247,298,55,310,266,08/25/2021,,,,,,,,,,,,,,,,
2021,2,United States,35-44 years,"8,640","5,296",84,865,253,0,50,46,46,83,308,"1,022",165,798,706,08/25/2021,,,,,,,,,,,,,,,,
2021,2,United States,45-54 years,"16,145","13,148",189,"2,605",617,14,143,250,132,192,336,"2,764",438,"2,540","2,291",08/25/2021,,,,,,,,,,,,,,,,
2021,2,United States,5-14 years,427,223,,69,,0,,,,,18,16,,,,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,2,United States,55-64 years,"37,704","34,448",515,"8,250","1,530",116,371,"1,311",351,515,437,"7,054","1,198","6,802","6,235",08/25/2021,,,,,,,,,,,,,,,,
2021,2,United States,65-74 years,"59,725","57,562",839,"13,706","2,295",672,670,"2,847",859,995,466,"11,250","2,263","11,951","10,904",08/25/2021,,,,,,,,,,,,,,,,
2021,2,United States,75-84 years,"69,354","67,427",937,"12,365","2,069","2,919",960,"3,476","1,129","1,245",494,"13,617","3,581","13,427","11,844",08/25/2021,,,,,,,,,,,,,,,,
2021,2,United States,85 years and over,"79,636","77,367",764,"7,740","1,510","6,215","1,157","2,834",977,"1,355",923,"19,753","5,373","12,274","10,210",08/25/2021,,,,,,,,,,,,,,,,
2021,3,United States,0-4 years,"1,878","1,643",13,29,0,0,,,27,,295,20,11,,,08/25/2021,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,3,United States,15-24 years,"3,066",720,,96,28,0,,13,13,,178,63,15,45,33,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
2021,3,United States,25-34 years,"6,283","2,239",20,284,103,0,31,35,23,30,351,349,30,209,163,08/25/2021,,,,,,,,,,,,,,,,
2021,3,United States,35-44 years,"9,208","5,337",92,889,236,,48,68,47,82,453,996,168,564,479,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,3,United States,45-54 years,"16,169","12,819",172,"2,846",583,14,137,249,121,220,493,"2,808",474,"1,538","1,394",08/25/2021,,,,,,,,,,,,,,,,
2021,3,United States,5-14 years,489,242,,58,,0,0,,,0,24,17,,,,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,3,United States,55-64 years,"36,138","32,794",569,"8,964","1,483",102,362,"1,314",428,525,623,"7,090","1,261","3,789","3,383",08/25/2021,,,,,,,,,,,,,,,,
2021,3,United States,65-74 years,"55,365","53,116",808,"14,545","2,302",727,682,"2,963",838,953,526,"11,367","2,323","5,958","5,259",08/25/2021,,,,,,,,,,,,,,,,
2021,3,United States,75-84 years,"64,598","62,583",863,"13,578","2,126","2,800",906,"3,748","1,214","1,303",515,"13,882","3,689","5,892","4,932",08/25/2021,,,,,,,,,,,,,,,,
2021,3,United States,85 years and over,"73,985","71,682",792,"8,341","1,545","6,068","1,114","2,942",992,"1,382",900,"20,061","5,470","4,915","3,717",08/25/2021,,,,,,,,,,,,,,,,
2021,4,United States,0-4 years,"1,882","1,654",,23,0,0,,,16,,280,28,,13,,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9)
2021,4,United States,15-24 years,"3,090",761,,107,24,0,,12,,,218,70,19,49,40,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2021,4,United States,25-34 years,"6,250","2,459",38,279,96,0,31,26,15,21,581,312,41,256,205,08/25/2021,,,,,,,,,,,,,,,,
2021,4,United States,35-44 years,"9,111","5,359",71,882,212,,55,60,44,67,716,926,179,578,518,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,4,United States,45-54 years,"15,542","12,346",193,"2,662",530,,128,248,123,207,741,"2,612",467,"1,582","1,456",08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,4,United States,5-14 years,441,240,,62,,0,,,,0,36,15,,10,,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9)
2021,4,United States,55-64 years,"34,769","31,549",482,"8,620","1,430",95,338,"1,310",355,455,895,"6,866","1,208","3,455","3,096",08/25/2021,,,,,,,,,,,,,,,,
2021,4,United States,65-74 years,"52,074","49,862",752,"14,196","2,125",636,616,"2,811",809,947,631,"10,783","2,255","4,593","4,046",08/25/2021,,,,,,,,,,,,,,,,
2021,4,United States,75-84 years,"59,189","57,259",761,"13,066","1,936","2,406",788,"3,470","1,084","1,180",499,"13,000","3,385","4,355","3,619",08/25/2021,,,,,,,,,,,,,,,,
2021,4,United States,85 years and over,"67,912","65,689",641,"8,066","1,390","5,512",983,"2,748",935,"1,289",823,"18,674","5,187","3,583","2,770",08/25/2021,,,,,,,,,,,,,,,,
2021,5,United States,0-4 years,"1,933","1,712",12,28,0,0,,,25,,326,33,13,,,08/25/2021,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,5,United States,15-24 years,"3,237",902,,121,28,0,,13,11,,384,56,17,62,51,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,
2021,5,United States,25-34 years,"6,484","2,735",24,271,84,,23,22,21,28,967,290,48,223,190,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,5,United States,35-44 years,"9,114","5,658",88,862,202,,56,47,47,71,"1,115",886,171,522,464,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,5,United States,45-54 years,"15,445","12,507",172,"2,686",533,,106,234,132,179,"1,090","2,547",481,"1,331","1,197",08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,5,United States,5-14 years,493,271,,70,,0,,,,0,46,17,,,,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,5,United States,55-64 years,"34,520","31,600",466,"8,926","1,412",97,311,"1,411",384,487,"1,216","6,764","1,155","2,916","2,625",08/25/2021,,,,,,,,,,,,,,,,
2021,5,United States,65-74 years,"51,492","49,326",738,"14,524","2,043",657,541,"2,897",849,951,773,"10,569","2,175","3,723","3,306",08/25/2021,,,,,,,,,,,,,,,,
2021,5,United States,75-84 years,"58,538","56,609",800,"13,156","1,855","2,555",768,"3,568","1,127","1,195",566,"12,770","3,397","3,300","2,729",08/25/2021,,,,,,,,,,,,,,,,
2021,5,United States,85 years and over,"67,384","65,213",671,"8,143","1,361","5,500",978,"2,694",963,"1,200",882,"18,697","5,170","2,515","1,882",08/25/2021,,,,,,,,,,,,,,,,
2021,6,United States,0-4 years,"1,725","1,552",10,28,,0,,,13,,374,28,12,,,08/25/2021,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,6,United States,15-24 years,"3,072","1,069",,107,21,0,10,,11,,603,48,11,24,19,08/25/2021,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,
2021,6,United States,25-34 years,"6,084","3,053",27,291,74,0,14,19,14,27,"1,504",204,60,121,104,08/25/2021,,,,,,,,,,,,,,,,
2021,6,United States,35-44 years,"8,775","6,020",78,875,163,0,57,49,46,70,"1,877",787,159,315,274,08/25/2021,,,,,,,,,,,,,,,,
2021,6,United States,45-54 years,"14,182","11,897",180,"2,605",483,,114,234,129,175,"1,815","2,162",406,783,720,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,6,United States,5-14 years,518,265,,60,,0,,,,0,71,,12,,,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,6,United States,55-64 years,"32,052","29,595",456,"8,478","1,220",104,320,"1,375",370,479,"2,023","6,356","1,043","1,557","1,363",08/25/2021,,,,,,,,,,,,,,,,
2021,6,United States,65-74 years,"47,954","45,970",802,"13,897","1,989",638,542,"2,820",810,891,"1,136","9,980","2,125","1,922","1,641",08/25/2021,,,,,,,,,,,,,,,,
2021,6,United States,75-84 years,"55,190","53,342",789,"12,760","1,870","2,430",738,"3,438","1,075","1,130",717,"12,200","3,231","1,681","1,308",08/25/2021,,,,,,,,,,,,,,,,
2021,6,United States,85 years and over,"63,380","61,261",616,"8,044","1,336","5,264",874,"2,630",913,"1,114",881,"17,801","4,869","1,312",912,08/25/2021,,,,,,,,,,,,,,,,
2021,7,United States,0-4 years,"1,620","1,482",,23,0,0,,,16,,372,25,,,,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,7,United States,15-24 years,"2,849","1,278",12,108,13,0,,,,,803,43,14,65,59,08/25/2021,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2021,7,United States,25-34 years,"5,874","3,676",36,289,53,0,19,12,19,27,"2,157",201,34,196,183,08/25/2021,,,,,,,,,,,,,,,,
2021,7,United States,35-44 years,"8,441","6,621",83,889,146,0,53,36,44,56,"2,611",638,150,518,479,08/25/2021,,,,,,,,,,,,,,,,
2021,7,United States,45-54 years,"14,239","12,583",171,"2,627",451,,95,225,123,160,"2,507","2,087",416,"1,100","1,021",08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2021,7,United States,5-14 years,453,267,0,68,,0,,,,,91,14,,,,08/25/2021,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9)
2021,7,United States,55-64 years,"31,549","29,670",466,"8,454","1,146",92,318,"1,312",381,440,"2,726","5,726","1,023","1,954","1,774",08/25/2021,,,,,,,,,,,,,,,,
2021,7,United States,65-74 years,"48,319","46,620",763,"14,123","1,909",609,622,"2,888",764,909,"1,570","9,544","2,151","2,303","2,061",08/25/2021,,,,,,,,,,,,,,,,
2021,7,United States,75-84 years,"56,349","54,571",804,"13,166","1,791","2,470",733,"3,486","1,061","1,191",917,"12,150","3,301","2,178","1,850",08/25/2021,,,,,,,,,,,,,,,,
2021,7,United States,85 years and over,"65,360","63,319",703,"8,259","1,257","5,344",943,"2,786","1,021","1,151","1,073","17,833","4,974","1,736","1,338",08/25/2021,,,,,,,,,,,,,,,,
2019,1,1,0-4 years,61,55,,0,0,0,,0,,0,,,0,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2019,1,1,15-24 years,77,17,,,,0,,0,0,0,0,,0,0,0,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,
2019,1,1,25-34 years,202,51,,,,0,0,,,0,,,,0,0,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,1,35-44 years,269,142,,33,,0,,,0,,,23,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,1,1,45-54 years,601,476,,141,25,0,15,14,10,11,,85,12,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,,,,,Suppressed (counts 1-9),,,,
2019,1,1,5-14 years,11,,0,,0,0,,0,0,0,0,0,0,0,0,08/25/2021,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,,,,
2019,1,1,55-64 years,"1,410","1,271",19,473,44,,28,65,21,24,11,259,30,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,1,1,65-74 years,"2,164","2,082",42,678,67,28,53,154,38,41,13,450,63,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,1,75-84 years,"2,951","2,866",43,709,84,110,74,231,42,66,38,609,150,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,1,85 years and over,"4,772","4,625",65,523,95,279,154,220,74,113,62,"1,315",264,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,2,0-4 years,127,117,,,0,0,,0,0,0,14,,0,0,0,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,,
2019,1,2,15-24 years,134,54,,13,0,0,,,0,0,,,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,2,25-34 years,352,148,,32,,0,,,,,10,24,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,2,35-44 years,470,293,,74,16,0,16,,12,,10,54,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,2,45-54 years,"1,035",841,,254,29,,25,23,12,,16,212,30,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),,,,,
2019,1,2,5-14 years,36,27,0,,,0,0,,0,0,,,0,0,0,08/25/2021,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,
2019,1,2,55-64 years,"2,505","2,307",39,752,88,,60,103,40,28,31,598,80,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,1,2,65-74 years,"3,684","3,554",75,"1,161",148,23,81,192,64,85,33,981,136,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,2,75-84 years,"4,962","4,846",87,"1,138",152,125,164,326,104,104,50,"1,336",242,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,2,85 years and over,"7,792","7,634",117,832,143,428,260,367,168,167,118,"2,698",377,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,3,0-4 years,193,174,,,0,0,,,,0,26,,0,0,0,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,,
2019,1,3,15-24 years,223,54,,13,,0,,,0,0,,,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,3,25-34 years,467,129,0,22,10,0,,,,,,24,0,0,0,08/25/2021,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,
2019,1,3,35-44 years,683,355,,78,22,0,,,,,10,89,11,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,,,
2019,1,3,45-54 years,"1,422","1,078",22,333,46,0,35,23,12,21,18,266,40,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,3,5-14 years,37,19,0,,0,0,,,0,0,0,,,0,0,08/25/2021,,,,,Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,3,55-64 years,"3,414","3,097",81,930,150,,49,196,40,54,39,773,131,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,1,3,65-74 years,"4,958","4,750",96,"1,458",203,42,106,343,89,116,50,"1,143",187,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,3,75-84 years,"6,441","6,222",122,"1,438",217,208,127,448,132,155,60,"1,502",354,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,3,85 years and over,"8,677","8,397",137,993,205,553,230,388,136,175,136,"2,515",625,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,4,0-4 years,498,441,,,0,0,,,,,51,12,,0,0,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,4,15-24 years,584,159,,27,,0,,,,,15,20,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,4,25-34 years,"1,068",354,,55,14,0,,,,,10,71,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,4,35-44 years,"1,753","1,019",29,223,50,0,21,11,11,22,18,249,35,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,4,45-54 years,"3,506","2,806",54,742,158,,54,106,42,65,28,717,113,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,1,4,5-14 years,120,65,0,11,0,0,0,,,0,,,,0,0,08/25/2021,,,,,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,4,55-64 years,"8,075","7,399",154,"2,341",324,22,120,457,127,151,72,"1,790",288,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,4,65-74 years,"11,958","11,443",192,"3,435",438,183,206,"1,006",246,275,87,"2,742",508,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,4,75-84 years,"14,483","14,000",230,"3,109",429,724,275,"1,215",320,319,151,"3,305",924,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,4,85 years and over,"15,850","15,323",202,"1,753",281,"1,493",390,911,230,307,272,"4,326","1,349",0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,5,0-4 years,322,268,,,0,0,,,,0,33,,,0,0,08/25/2021,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,5,15-24 years,352,92,0,11,,0,,,,,,10,,0,0,08/25/2021,,,,,,Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),,
2019,1,5,25-34 years,679,253,,36,12,0,,,,,13,47,,0,0,08/25/2021,,,,Suppressed (counts 1-9),,,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),,
2019,1,5,35-44 years,"1,115",655,14,163,34,0,18,,11,16,10,140,17,0,0,08/25/2021,,,,,,,,,Suppressed (counts 1-9),,,,,,,
2019,1,5,45-54 years,"2,315","1,853",24,550,103,,41,49,21,31,13,439,94,0,0,08/25/2021,,,,,,,Suppressed (counts 1-9),,,,,,,,,
2019,1,5,5-14 years,69,41,0,,,0,,,0,0,,,,0,0,08/25/2021,,,,,Suppressed (counts 1-9),Suppressed (counts 1-9),,Suppressed (counts 1-9),Suppressed (counts 1-9),,,Suppressed (counts 1-9),Suppressed (counts 1-9),Suppressed (counts 1-9),,
2019,1,5,55-64 years,"5,669","5,205",83,"1,739",244,17,89,322,66,81,44,"1,291",186,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,5,65-74 years,"8,467","8,142",146,"2,581",374,98,143,675,165,170,53,"1,843",357,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,5,75-84 years,"10,684","10,363",172,"2,478",321,527,179,873,192,256,79,"2,434",584,0,0,08/25/2021,,,,,,,,,,,,,,,,
2019,1,5,85 years and over,"14,549","14,082",185,"1,530",279,"1,295",348,716,208,308,216,"4,236","1,117",0,0,08/25/2021,,,,,,,,,,,,,,,,
